MLP,None, 0.2, Adamax, sigmoid, 175
MLP,None, 0.2, Adamax, sigmoid, 200
MLP,None, 0.2, Adamax, softmax, 100
MLP,None, 0.2, Adamax, softmax, 125
MLP,None, 0.2, Adamax, softmax, 150
MLP,None, 0.2, Adamax, softmax, 175
MLP,None, 0.2, Adamax, softmax, 200
MLP,None, 0.1, SGD, tanh, 100
MLP,None, 0.1, SGD, tanh, 125
MLP,None, 0.1, SGD, tanh, 150
MLP,None, 0.1, SGD, tanh, 175
MLP,None, 0.1, SGD, tanh, 200
MLP,None, 0.1, SGD, relu, 100
MLP,None, 0.1, SGD, relu, 125
MLP,None, 0.1, SGD, relu, 150
MLP,None, 0.1, SGD, relu, 175
MLP,None, 0.1, SGD, relu, 200
MLP,None, 0.1, SGD, sigmoid, 100
MLP,None, 0.1, SGD, sigmoid, 125
MLP,None, 0.1, SGD, sigmoid, 150
MLP,None, 0.1, SGD, sigmoid, 175
MLP,None, 0.1, SGD, sigmoid, 200
MLP,None, 0.1, SGD, softmax, 100
MLP,None, 0.1, SGD, softmax, 125
MLP,None, 0.1, SGD, softmax, 150
MLP,None, 0.1, SGD, softmax, 175
MLP,None, 0.1, SGD, softmax, 200
MLP,None, 0.1, RMSprop, tanh, 100
MLP,None, 0.1, RMSprop, tanh, 125
MLP,None, 0.1, RMSprop, tanh, 150
MLP,None, 0.1, RMSprop, tanh, 175
MLP,None, 0.1, RMSprop, tanh, 200
MLP,None, 0.1, RMSprop, relu, 100
MLP,None, 0.1, RMSprop, relu, 125
MLP,None, 0.1, RMSprop, relu, 150
MLP,None, 0.1, RMSprop, relu, 175
MLP,None, 0.1, RMSprop, relu, 200
MLP,None, 0.1, RMSprop, sigmoid, 100
MLP,None, 0.1, RMSprop, sigmoid, 125
MLP,None, 0.1, RMSprop, sigmoid, 150
MLP,None, 0.1, RMSprop, sigmoid, 175
MLP,None, 0.1, RMSprop, sigmoid, 200
MLP,None, 0.1, RMSprop, softmax, 100
MLP,None, 0.1, RMSprop, softmax, 125
MLP,None, 0.1, RMSprop, softmax, 150
MLP,None, 0.1, RMSprop, softmax, 175
MLP,None, 0.1, RMSprop, softmax, 200
MLP,None, 0.1, Adagrad, tanh, 100
MLP,None, 0.1, Adagrad, tanh, 125
MLP,None, 0.1, Adagrad, tanh, 150
MLP,None, 0.1, Adagrad, tanh, 175
