=====linear_1=====
Epoch 74 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 75 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 76 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 77 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 78 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 79 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 80 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 81 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 82 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 83 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 84 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 85 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 86 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 87 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 88 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 89 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 90 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 91 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 92 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 93 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 94 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 95 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 96 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 97 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 98 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 99 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 100 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
